Filter,SWAF,NAF,TAF
PASS, 0.0055, 0.129000, 0.000000
FP, 0.019, 0.052000, 0.085000
FP, 0.022, 0.052000, 0.087000
FP, 0.028, 0.083000, 0.083000
FP, 0.021, 0.065000, 0.049000
FP, 0.016, 0.064000, 0.053000
FP, 0.01, 0.042000, 0.053000
FP, 0.0095, 0.041000, 0.053000
FP, 0.0095, 0.211000, 0.077000
FP, 0.223, 1.000000, 0.000000
FP, 0.005, 0.077000, 0.050000
FP, 0.011, 0.077000, 0.050000
FP, 0.011, 0.077000, 0.050000
FP, 0.012, 1.000000, 0.000000
FP, 0.007, 0.042000, 0.000000
FP, 0.001, 0.187000, 0.211000
FP, 0.0045, 0.067000, 0.000000
FP, 0.0045, 0.065000, 0.000000
FP, 0.0045, 0.063000, 0.000000
FP, 0.0045, 0.061000, 0.000000
FP, 0.0045, 0.061000, 0.000000
FP, 0.0045, 0.094000, 0.044000
FP, 0.0075, 0.043000, 0.000000
FP, 0.0075, 0.043000, 0.000000
FP, 0.0075, 0.059000, 0.000000
FP, 0.0015, 0.061000, 0.000000
FP, 0.003, 0.061000, 0.000000
FP, 0.003, 0.075000, 0.050000
FP, 0.003, 0.081000, 0.138000
FP, 0.003, 0.389000, 0.100000
FP, 0.011, 0.500000, 0.000000
PASS, 0.093, 0.085000, 0.000000
FP, 0.093, 0.167000, 0.089000
FP, 0.002, 0.051000, 0.020000
FP, 0.002, 0.046000, 0.048000
FP, 0.002, 0.045000, 0.068000
FP, 0.002, 0.048000, 0.067000
FP, 0.43, 0.081000, 0.100000
FP, 0.014, 0.047000, 0.043000
FP, 0.657, 0.098000, 0.028000
FP, 0.657, 0.078000, 0.000000
FP, 0.657, 0.136000, 0.054000
FP, 0.042, 0.080000, 0.045000
FP, 0.043, 0.077000, 0.045000
PASS, 0.052, 0.121000, 0.000000
FP, 0.297, 0.139000, 0.133000
PASS, 0.001, 0.162000, 0.000000
FP, 0.368, 0.222000, 0.184000
FP, 0.003, 0.043000, 0.029000
FP, 0.0035, 0.043000, 0.029000
FP, 0.0035, 0.047000, 0.029000
FP, 0.0045, 0.047000, 0.029000
FP, 0.023, 0.044000, 0.025000
FP, 0.068, 0.143000, 0.042000
FP, 0.053, 0.103000, 0.038000
FP, 0.037, 0.107000, 0.037000
FP, 0.037, 0.034000, 0.061000
FP, 0.289, 0.375000, 0.214000
FP, 0.289, 0.038000, 0.032000
FP, 0.012, 0.038000, 0.032000
PASS, 0.026, 0.182000, 0.000000
FP, 0.026, 0.088000, 0.033000
FP, 0.026, 0.086000, 0.031000
FP, 0.026, 0.037000, 0.000000
FP, 0.026, 0.037000, 0.000000
FP, 0.026, 0.037000, 0.000000
FP, 0.015, 0.059000, 0.000000
FP, 0.011, 0.059000, 0.000000
FP, 0.02, 0.095000, 0.000000
FP, 0.047, 0.171000, 0.036000
FP, 0.047, 0.198000, 0.066000
PASS, 0.047, 0.078000, 0.000000
FP, 0.047, 0.091000, 0.000000
FP, 0.047, 0.047000, 0.000000
FP, 0.047, 0.047000, 0.000000
FP, 0.047, 0.068000, 0.037000
FP, 0.047, 0.064000, 0.037000
FP, 0.047, 0.043000, 0.037000
FP, 0.047, 0.043000, 0.037000
FP, 0.047, 0.043000, 0.034000
FP, 0.047, 0.047000, 0.034000
FP, 0.047, 0.045000, 0.034000
FP, 0.047, 0.043000, 0.033000
FP, 0.047, 0.043000, 0.034000
FP, 0.047, 0.200000, 0.188000
FP, 0.047, 0.133000, 0.054000
FP, 0.106, 0.133000, 0.054000
FP, 0.012, 0.148000, 0.032000
FP, 0.018, 0.267000, 0.000000
FP, 0.155, 0.286000, 0.000000
FP, 0.155, 0.200000, 0.000000
FP, 0.008484, 0.182000, 0.000000
FP, 0.028, 0.182000, 0.000000
FP, 0.261, 0.222000, 0.000000
FP, 0.059, 0.222000, 0.000000
FP, 0.196, 0.250000, 0.000000
FP, 0.193, 0.500000, 0.000000
FP, 0.005, 0.027000, 0.055000
FP, 0.005, 0.027000, 0.050000
FP, 0.005, 0.096000, 0.076000
FP, 0.186, 0.110000, 0.024000
FP, 0.186, 0.030000, 0.000000
FP, 0.003411, 0.031000, 0.000000
FP, 0.007714, 0.032000, 0.000000
FP, 0.007714, 0.109000, 0.083000
FP, 0.0025, 0.049000, 0.000000
FP, 0.0045, 0.039000, 0.000000
FP, 0.208, 0.109000, 0.121000
FP, 0.387, 0.093000, 0.055000
FP, 0.051, 0.145000, 0.063000
FP, 0.086, 0.116000, 0.059000
FP, 0.039, 0.090000, 0.051000
FP, 0.041, 0.082000, 0.041000
FP, 0.03, 0.088000, 0.045000
FP, 0.05, 0.074000, 0.114000
FP, 0.002058, 0.055000, 0.000000
FP, 0.002058, 0.051000, 0.000000
FP, 0.002139, 0.033000, 0.000000
FP, 0.002139, 0.032000, 0.000000
FP, 0.002139, 0.032000, 0.000000
FP, 0.0005, 0.122000, 0.100000
FP, 0.0035, 0.083000, 0.056000
FP, 0.167, 0.179000, 0.075000
FP, 0.171, 0.051000, 0.048000
FP, 0.015, 0.084000, 0.073000
FP, 0.011, 0.084000, 0.073000
FP, 0.011, 0.129000, 0.089000
FP, 0.011, 0.097000, 0.091000
FP, 0.011, 0.069000, 0.083000
FP, 0.002002, 0.091000, 0.000000
FP, 0.005308, 0.136000, 0.000000
FP, 0.005308, 0.038000, 0.000000
FP, 0.232, 0.071000, 0.040000
FP, 0.017, 0.046000, 0.036000
FP, 0.009, 0.050000, 0.037000
FP, 0.009, 0.083000, 0.000000
FP, 0.117, 0.333000, 0.038000
FP, 0.117, 0.068000, 0.006897
FP, 0.117, 0.063000, 0.006329
FP, 0.117, 0.111000, 0.017000
FP, 0.012, 0.111000, 0.017000
FP, 0.012, 0.115000, 0.018000
FP, 0.012, 0.500000, 0.619000
FP, 0.012, 0.125000, 0.120000
FP, 0.069, 0.100000, 0.110000
FP, 0.008242, 1.000000, 0.152000
FP, 0.008242, 0.667000, 0.103000
FP, 0.003043, 0.115000, 0.028000
FP, 0.003043, 0.115000, 0.027000
FP, 0.003043, 0.115000, 0.027000
FP, 0.003043, 0.150000, 0.054000
PASS, 0.102, 0.571000, 0.000000
FP, 0.046, 1.000000, 0.000000
FP, 0.615, 1.000000, 0.000000
FP, 0.602, 1.000000, 0.000000
FP, 0.506, 1.000000, 0.000000
FP, 0.499, 1.000000, 0.000000
FP, 0.499, 1.000000, 0.000000
FP, 0.492, 1.000000, 0.000000
FP, 0.492, 0.184000, 0.065000
FP, 0.079, 0.211000, 0.091000
FP, 0.244, 0.143000, 0.000000
FP, 0.244, 0.333000, 0.000000
FP, 0.011, 0.069000, 0.038000
FP, 0.025, 0.069000, 0.038000
FP, 0.016, 0.074000, 0.042000
FP, 0.012, 0.074000, 0.042000
FP, 0.135, 0.156000, 0.059000
FP, 0.056, 0.500000, 0.000000
FP, 0.5, 0.231000, 0.000000
FP, 0.263, 0.231000, 0.000000
FP, 0.37, 0.750000, 0.300000
FP, 0.005, 0.333000, 0.000000
FP, 0.0055, 0.333000, 0.000000
FP, 0.059, 0.400000, 0.000000
FP, 0.459, 0.400000, 0.000000
FP, 0.459, 0.049000, 0.010000
FP, 0.101, 0.120000, 0.070000
FP, 0.101, 0.086000, 0.056000
FP, 0.02, 0.077000, 0.065000
FP, 0.002004, 1.000000, 0.000000
FP, 0.001524, 1.000000, 0.000000
FP, 0.001524, 0.412000, 0.111000
FP, 0.0045, 0.063000, 0.024000
FP, 0.024, 0.149000, 0.053000
FP, 0.024, 0.075000, 0.064000
FP, 0.0065, 0.075000, 0.064000
FP, 0.012, 0.105000, 0.050000
FP, 0.012, 0.105000, 0.000000
FP, 0.008517, 0.111000, 0.000000
FP, 0.008517, 0.125000, 0.037000
FP, 0.008517, 0.154000, 0.000000
FP, 0.008517, 0.158000, 0.100000
FP, 0.049, 0.206000, 0.080000
FP, 0.049, 0.087000, 0.000000
FP, 0.193, 0.500000, 0.000000
FP, 0.14, 0.750000, 0.000000
FP, 0.14, 0.079000, 0.043000
FP, 0.14, 0.100000, 0.048000
FP, 0.14, 0.209000, 0.410000
FP, 0.006612, 0.167000, 0.000000
FP, 0.004, 0.043000, 0.000000
FP, 0.0045, 0.085000, 0.056000
FP, 0.0045, 0.043000, 0.000000
FP, 0.046, 0.500000, 0.000000
FP, 0.139, 0.417000, 0.125000
FP, 0.082, 0.176000, 0.000000
FP, 0.082, 0.043000, 0.050000
FP, 0.082, 0.043000, 0.050000
FP, 0.082, 0.043000, 0.050000
FP, 0.082, 0.043000, 0.048000
FP, 0.082, 0.043000, 0.048000
FP, 0.082, 0.042000, 0.045000
FP, 0.082, 0.044000, 0.049000
FP, 0.082, 0.044000, 0.049000
FP, 0.082, 0.044000, 0.050000
FP, 0.082, 0.044000, 0.050000
FP, 0.002049, 0.250000, 0.000000
FP, 0.002049, 0.136000, 0.000000
FP, 0.004865, 0.100000, 0.071000
FP, 0.004865, 0.224000, 0.121000
FP, 0.0045, 0.064000, 0.000000
FP, 0.004, 0.064000, 0.000000
FP, 0.004, 0.064000, 0.000000
FP, 0.004, 0.061000, 0.000000
FP, 0.004, 0.065000, 0.000000
FP, 0.0035, 0.065000, 0.000000
FP, 0.004, 0.065000, 0.000000
FP, 0.004, 0.065000, 0.000000
FP, 0.0045, 0.065000, 0.000000
FP, 0.001, 0.136000, 0.086000
FP, 0.0025, 0.147000, 0.089000
FP, 0.019, 0.500000, 0.000000
FP, 0.02, 0.259000, 0.078000
FP, 0.0025, 0.067000, 0.016000
FP, 0.0025, 0.067000, 0.016000
FP, 0.028, 0.190000, 0.058000
FP, 0.023, 0.173000, 0.107000
PASS, 0.023, 0.500000, 0.000000
FP, 0.285, 0.074000, 0.070000
FP, 0.272, 0.076000, 0.127000
FP, 0.42, 0.085000, 0.069000
FP, 0.05, 0.040000, 0.044000
FP, 0.273, 0.092000, 0.047000
FP, 0.182, 0.082000, 0.074000
FP, 0.122, 0.058000, 0.012000
FP, 0.167, 0.089000, 0.082000
FP, 0.118, 0.080000, 0.043000
FP, 0.119, 0.080000, 0.043000
FP, 0.058, 0.037000, 0.021000
FP, 0.015, 0.029000, 0.000000
FP, 0.185, 0.091000, 0.075000
FP, 0.073, 0.043000, 0.057000
FP, 0.1, 0.084000, 0.054000
FP, 0.032, 0.096000, 0.050000
FP, 0.171, 0.563000, 0.000000
FP, 0.172, 0.500000, 0.000000
FP, 0.172, 0.071000, 0.000000
FP, 0.172, 0.068000, 0.000000
FP, 0.172, 0.068000, 0.000000
FP, 0.172, 0.067000, 0.000000
FP, 0.172, 0.067000, 0.000000
FP, 0.172, 0.068000, 0.000000
FP, 0.172, 0.071000, 0.000000
FP, 0.172, 0.067000, 0.000000
FP, 0.172, 0.068000, 0.000000
FP, 0.0065, 0.111000, 0.038000
FP, 0.0065, 0.182000, 0.000000
FP, 0.0065, 0.208000, 0.118000
FP, 0.006, 0.045000, 0.036000
FP, 0.007, 0.045000, 0.036000
FP, 0.0065, 0.068000, 0.033000
FP, 0.017, 0.091000, 0.000000
FP, 0.009, 0.100000, 0.056000
FP, 0.009, 0.068000, 0.178000
FP, 0.016, 0.087000, 0.000000
FP, 0.016, 0.087000, 0.000000
FP, 0.005, 0.100000, 0.048000
FP, 0.0025, 0.097000, 0.048000
FP, 0.003, 0.100000, 0.050000
FP, 0.003, 0.103000, 0.056000
FP, 0.003, 0.120000, 0.059000
FP, 0.003, 0.115000, 0.059000
FP, 0.003, 0.120000, 0.059000
FP, 0.003, 0.125000, 0.059000
FP, 0.003, 0.149000, 0.091000
FP, 0.011, 0.058000, 0.033000
FP, 0.011, 0.058000, 0.033000
FP, 0.015, 0.105000, 0.000000
FP, 0.013, 0.049000, 0.000000
FP, 0.013, 0.068000, 0.000000
FP, 0.0015, 0.071000, 0.029000
FP, 0.0015, 0.071000, 0.029000
FP, 0.001, 0.075000, 0.031000
FP, 0.001, 0.079000, 0.031000
FP, 0.0035, 0.079000, 0.033000
FP, 0.0035, 0.057000, 0.037000
FP, 0.019, 0.080000, 0.042000
FP, 0.019, 0.080000, 0.042000
FP, 0.013, 0.082000, 0.042000
FP, 0.0025, 0.057000, 0.051000
FP, 0.0025, 0.056000, 0.053000
FP, 0.0025, 0.056000, 0.026000
FP, 0.002, 0.060000, 0.026000
FP, 0.0015, 0.059000, 0.054000
FP, 0.0015, 0.034000, 0.000000
FP, 0.0015, 0.034000, 0.000000
FP, 0.008, 0.079000, 0.000000
FP, 0.0055, 0.083000, 0.000000
FP, 0.0005, 0.060000, 0.000000
FP, 0.0005, 0.060000, 0.000000
FP, 0.0005, 0.061000, 0.000000
FP, 0.0005, 0.067000, 0.000000
FP, 0.0005, 0.063000, 0.000000
FP, 0.0005, 0.063000, 0.000000
FP, 0.0005, 0.061000, 0.000000
FP, 0.0005, 0.067000, 0.000000
FP, 0.607, 0.400000, 0.095000
FP, 0.025, 0.500000, 0.000000
FP, 0.314, 0.727000, 0.000000
FP, 0.285, 0.800000, 0.000000
FP, 0.285, 0.818000, 0.000000
FP, 0.285, 0.750000, 0.000000
PASS, 0.0025, 0.140000, 0.148000
FP, 0.062, 0.053000, 0.051000
FP, 0.045, 0.060000, 0.130000
FP, 0.045, 0.106000, 0.138000
FP, 0.045, 0.182000, 0.053000
FP, 0.007508, 0.125000, 0.056000
FP, 0.007508, 0.130000, 0.053000
FP, 0.0095, 0.227000, 0.222000
FP, 0.083, 0.462000, 0.000000
FP, 0.014, 0.097000, 0.000000
FP, 0.014, 0.095000, 0.000000
FP, 0.014, 0.098000, 0.000000
FP, 0.014, 0.097000, 0.000000
FP, 0.015, 0.097000, 0.000000
FP, 0.015, 0.102000, 0.000000
FP, 0.015, 0.095000, 0.000000
FP, 0.015, 0.097000, 0.000000
FP, 0.013, 0.097000, 0.000000
FP, 0.013, 0.100000, 0.000000
FP, 0.013, 0.032000, 0.000000
FP, 0.013, 0.032000, 0.000000
FP, 0.013, 0.034000, 0.000000
FP, 0.013, 0.034000, 0.000000
FP, 0.003, 0.222000, 0.091000
FP, 0.02, 0.077000, 0.000000
FP, 0.021, 0.077000, 0.000000
FP, 0.016, 0.056000, 0.000000
FP, 0.0075, 0.056000, 0.000000
FP, 0.0075, 0.056000, 0.000000
FP, 0.007, 0.054000, 0.000000
FP, 0.605, 0.038000, 0.000000
PASS, 0.605, 0.140000, 0.000000
FP, 0.385, 0.615000, 0.261000
FP, 0.385, 0.120000, 0.063000
FP, 0.034, 0.115000, 0.067000
FP, 0.037, 0.107000, 0.063000
FP, 0.025, 0.111000, 0.000000
FP, 0.0055, 0.111000, 0.000000
FP, 0.003, 0.056000, 0.030000
FP, 0.0035, 0.056000, 0.030000
FP, 0.0035, 0.057000, 0.029000
FP, 0.0035, 0.041000, 0.040000
FP, 0.0035, 0.039000, 0.037000
FP, 0.0035, 0.039000, 0.037000
FP, 0.0035, 0.067000, 0.000000
FP, 0.0035, 0.043000, 0.000000
PASS, 0.033, 0.263000, 0.000000
FP, 0.033, 0.333000, 0.111000
FP, 0.064, 0.111000, 0.000000
FP, 0.054, 0.111000, 0.000000
PASS, 0.112, 0.167000, 0.056000
FP, 0.006, 0.065000, 0.000000
FP, 0.006, 0.065000, 0.000000
FP, 0.006, 0.429000, 0.000000
FP, 0.208, 0.400000, 0.000000
FP, 0.001, 0.058000, 0.045000
FP, 0.0035, 0.059000, 0.044000
FP, 0.0035, 0.058000, 0.043000
FP, 0.0035, 0.036000, 0.000000
FP, 0.0035, 0.033000, 0.000000
FP, 0.0035, 0.033000, 0.000000
FP, 0.0035, 0.032000, 0.000000
FP, 0.0035, 0.031000, 0.000000
FP, 0.0035, 0.032000, 0.000000
FP, 0.0035, 0.033000, 0.000000
FP, 0.0035, 1.000000, 0.000000
FP, 0.003, 0.073000, 0.031000
FP, 0.001, 0.057000, 0.000000
FP, 0.001, 0.057000, 0.000000
FP, 0.001, 0.057000, 0.000000
FP, 0.01, 0.056000, 0.032000
FP, 0.006, 0.053000, 0.031000
FP, 0.006, 0.053000, 0.030000
FP, 0.0035, 0.053000, 0.031000
FP, 0.0035, 0.043000, 0.024000
FP, 0.0035, 0.043000, 0.024000
FP, 0.0035, 0.043000, 0.024000
FP, 0.0035, 0.043000, 0.024000
FP, 0.0035, 0.043000, 0.024000
FP, 0.022, 0.042000, 0.021000
FP, 0.018, 0.043000, 0.021000
FP, 0.04, 0.045000, 0.000000
FP, 0.0055, 0.030000, 0.059000
FP, 0.0055, 0.030000, 0.059000
FP, 0.004, 0.031000, 0.000000
FP, 0.055, 0.042000, 0.028000
FP, 0.051, 0.039000, 0.026000
FP, 0.05, 0.038000, 0.025000
FP, 0.013, 0.040000, 0.024000
FP, 0.014, 0.040000, 0.024000
FP, 0.012, 0.041000, 0.025000
FP, 0.012, 0.036000, 0.000000
FP, 0.002, 0.053000, 0.000000
FP, 0.0015, 0.050000, 0.000000
FP, 0.002, 0.049000, 0.000000
FP, 0.002, 0.049000, 0.000000
FP, 0.0025, 0.036000, 0.000000
FP, 0.0025, 0.038000, 0.000000
FP, 0.003, 0.036000, 0.000000
FP, 0.003, 0.038000, 0.000000
FP, 0.005, 0.038000, 0.000000
FP, 0.0055, 0.038000, 0.000000
FP, 0.0055, 0.039000, 0.000000
FP, 0.0055, 0.040000, 0.000000
FP, 0.0055, 0.096000, 0.000000
FP, 0.004, 0.063000, 0.000000
FP, 0.004, 0.061000, 0.000000
FP, 0.024, 0.073000, 0.036000
FP, 0.024, 0.077000, 0.036000
FP, 0.02, 0.075000, 0.033000
FP, 0.02, 0.070000, 0.032000
FP, 0.02, 0.071000, 0.033000
FP, 0.02, 0.067000, 0.000000
FP, 0.02, 0.116000, 0.079000
FP, 0.02, 0.034000, 0.000000
FP, 0.02, 0.034000, 0.000000
FP, 0.028, 0.194000, 0.094000
FP, 0.017, 0.172000, 0.000000
FP, 0.017, 0.080000, 0.000000
FP, 0.017, 0.080000, 0.000000
FP, 0.017, 0.083000, 0.060000
PASS, 0.016, 0.118000, 0.042000
FP, 0.0055, 0.111000, 0.000000
FP, 0.0045, 0.115000, 0.000000
FP, 0.003, 0.096000, 0.000000
FP, 0.003, 0.041000, 0.000000
FP, 0.003, 0.043000, 0.000000
FP, 0.003, 0.043000, 0.000000
FP, 0.003, 0.044000, 0.000000
FP, 0.003, 0.037000, 0.000000
FP, 0.003, 0.037000, 0.000000
FP, 0.055, 0.318000, 0.125000
FP, 0.002, 0.053000, 0.061000
FP, 0.002, 0.053000, 0.061000
FP, 0.002, 0.075000, 0.116000
FP, 0.002, 0.273000, 0.100000
FP, 0.04, 0.059000, 0.075000
FP, 0.093, 0.061000, 0.051000
FP, 0.102, 0.061000, 0.051000
FP, 0.0085, 0.065000, 0.000000
FP, 0.012, 0.063000, 0.000000
FP, 0.012, 0.043000, 0.000000
FP, 0.012, 0.043000, 0.000000
FP, 0.012, 0.041000, 0.000000
FP, 0.012, 0.042000, 0.000000
FP, 0.019, 0.057000, 0.021000
FP, 0.021, 0.056000, 0.020000
FP, 0.019, 0.057000, 0.020000
FP, 0.018, 0.057000, 0.020000
FP, 0.018, 0.058000, 0.020000
FP, 0.065, 0.059000, 0.020000
FP, 0.064, 0.058000, 0.020000
FP, 0.066, 0.059000, 0.021000
FP, 0.014, 0.045000, 0.073000
FP, 0.016, 0.048000, 0.024000
FP, 0.017, 0.045000, 0.023000
FP, 0.013, 0.049000, 0.024000
FP, 0.011, 0.185000, 0.045000
FP, 0.011, 0.185000, 0.045000
FP, 0.005561, 0.167000, 0.048000
FP, 0.265, 0.500000, 0.000000
FP, 0.034, 0.462000, 0.000000
FP, 0.004, 0.049000, 0.000000
FP, 0.004, 0.049000, 0.000000
FP, 0.0035, 0.049000, 0.000000
FP, 0.0035, 0.050000, 0.000000
FP, 0.0035, 0.051000, 0.000000
FP, 0.0035, 0.053000, 0.000000
FP, 0.0035, 0.053000, 0.000000
FP, 0.004, 0.053000, 0.000000
FP, 0.004, 0.051000, 0.000000
FP, 0.016, 0.045000, 0.027000
FP, 0.02, 0.063000, 0.077000
FP, 0.023, 0.047000, 0.077000
FP, 0.003, 0.129000, 0.034000
FP, 0.003, 0.133000, 0.034000
FP, 0.003, 0.133000, 0.034000
FP, 0.003, 0.129000, 0.036000
FP, 0.003, 0.065000, 0.000000
FP, 0.0015, 0.043000, 0.057000
FP, 0.001, 0.041000, 0.026000
FP, 0.001, 0.040000, 0.026000
FP, 0.001, 0.231000, 0.107000
FP, 0.026, 0.041000, 0.042000
FP, 0.026, 0.154000, 0.000000
FP, 0.026, 0.067000, 0.000000
FP, 0.009, 0.071000, 0.038000
FP, 0.009, 0.071000, 0.040000
FP, 0.009, 0.071000, 0.038000
FP, 0.009, 0.075000, 0.040000
FP, 0.0085, 0.121000, 0.048000
FP, 0.009, 0.118000, 0.043000
FP, 0.0075, 0.088000, 0.050000
FP, 0.006, 0.083000, 0.000000
FP, 0.0045, 0.081000, 0.000000
FP, 0.038, 0.057000, 0.038000
FP, 0.035, 0.053000, 0.036000
FP, 0.002, 0.125000, 0.000000
FP, 0.0005, 0.125000, 0.000000
PASS, 0.0005, 0.508000, 0.000000
FP, 0.0005, 0.400000, 0.000000
FP, 0.0005, 0.073000, 0.145000
FP, 0.0005, 0.080000, 0.000000
FP, 0.0005, 0.800000, 0.000000
FP, 0.02, 0.219000, 0.065000
FP, 0.02, 0.167000, 0.023000
FP, 0.02, 0.146000, 0.021000
FP, 0.02, 0.109000, 0.022000
FP, 0.02, 0.106000, 0.022000
FP, 0.02, 0.116000, 0.023000
FP, 0.02, 0.116000, 0.023000
FP, 0.02, 0.106000, 0.023000
FP, 0.02, 0.067000, 0.022000
FP, 0.02, 0.061000, 0.000000
FP, 0.02, 0.073000, 0.071000
FP, 0.023, 0.160000, 0.100000
PASS, 0.013, 0.115000, 0.000000
FP, 0.094, 0.333000, 0.000000
FP, 0.094, 0.333000, 0.000000
FP, 0.0005005, 0.039000, 0.000000
FP, 0.0005005, 0.040000, 0.000000
FP, 0.086, 0.039000, 0.022000
FP, 0.085, 0.038000, 0.022000
FP, 0.081, 0.038000, 0.022000
FP, 0.212, 0.085000, 0.105000
FP, 0.09, 0.091000, 0.000000
FP, 0.216, 0.085000, 0.000000
FP, 0.168, 0.042000, 0.000000
FP, 0.001509, 0.214000, 0.031000
FP, 0.146, 0.133000, 0.105000
FP, 0.168, 0.133000, 0.059000
FP, 0.203, 0.167000, 0.086000
FP, 0.009091, 0.500000, 0.000000
FP, 0.268, 0.250000, 0.050000
FP, 0.268, 0.071000, 0.051000
FP, 0.268, 0.032000, 0.032000
FP, 0.268, 0.024000, 0.021000
FP, 0.268, 0.024000, 0.021000
FP, 0.268, 0.017000, 0.010000
FP, 0.268, 0.016000, 0.020000
FP, 0.268, 0.016000, 0.021000
FP, 0.268, 0.022000, 0.017000
FP, 0.268, 0.022000, 0.017000
FP, 0.036, 0.073000, 0.079000
FP, 0.036, 0.033000, 0.051000
FP, 0.0015, 0.032000, 0.049000
FP, 0.014, 0.031000, 0.024000
FP, 0.019, 0.021000, 0.029000
FP, 0.019, 0.022000, 0.029000
FP, 0.014, 0.292000, 0.037000
FP, 0.014, 0.118000, 0.033000
FP, 0.014, 0.122000, 0.102000
FP, 0.675, 0.310000, 0.120000
FP, 0.325, 0.157000, 0.100000
FP, 0.0085, 0.079000, 0.045000
FP, 0.0025, 0.049000, 0.022000
FP, 0.002, 0.049000, 0.022000
FP, 0.116, 0.500000, 0.000000
FP, 0.028, 0.273000, 0.154000
FP, 0.0095, 0.041000, 0.057000
FP, 0.011, 0.041000, 0.054000
FP, 0.0065, 0.042000, 0.059000
FP, 0.118, 0.041000, 0.029000
FP, 0.064, 0.070000, 0.043000
FP, 0.011, 0.045000, 0.026000
FP, 0.055, 0.057000, 0.036000
FP, 0.053, 0.055000, 0.036000
FP, 0.053, 0.057000, 0.038000
FP, 0.041, 0.040000, 0.039000
FP, 0.069, 0.065000, 0.027000
FP, 0.113, 0.061000, 0.051000
FP, 0.133, 0.078000, 0.068000
FP, 0.132, 0.078000, 0.068000
FP, 0.038, 0.036000, 0.049000
FP, 0.0095, 0.036000, 0.048000
FP, 0.02, 0.036000, 0.023000
FP, 0.02, 0.053000, 0.000000
FP, 0.02, 0.052000, 0.000000
FP, 0.02, 0.054000, 0.000000
FP, 0.002, 0.032000, 0.042000
FP, 0.002, 0.032000, 0.042000
FP, 0.004, 0.038000, 0.000000
FP, 0.007, 0.057000, 0.000000
FP, 0.0075, 0.058000, 0.000000
FP, 0.0075, 0.061000, 0.000000
FP, 0.0075, 0.061000, 0.000000
FP, 0.0075, 0.068000, 0.025000
FP, 0.0075, 0.065000, 0.000000
FP, 0.0075, 0.065000, 0.000000
FP, 0.0075, 0.065000, 0.000000
FP, 0.0075, 0.065000, 0.000000
FP, 0.0075, 0.061000, 0.000000
FP, 0.0075, 0.061000, 0.000000
FP, 0.0075, 0.058000, 0.000000
FP, 0.004, 0.057000, 0.050000
FP, 0.004, 0.057000, 0.050000
FP, 0.004, 0.043000, 0.000000
FP, 0.004, 0.051000, 0.000000
FP, 0.004, 0.051000, 0.000000
PASS, 0.004, 0.100000, 0.000000
FP, 0.004, 0.525000, 0.280000
FP, 0.02, 0.063000, 0.050000
FP, 0.02, 0.063000, 0.050000
FP, 0.02, 0.061000, 0.047000
FP, 0.02, 0.061000, 0.044000
FP, 0.019, 0.060000, 0.045000
FP, 0.019, 0.062000, 0.047000
FP, 0.019, 0.065000, 0.044000
FP, 0.019, 0.066000, 0.044000
FP, 0.023, 0.117000, 0.040000
FP, 0.021, 0.117000, 0.039000
FP, 0.022, 0.117000, 0.039000
FP, 0.021, 0.119000, 0.038000
FP, 0.021, 0.119000, 0.039000
FP, 0.018, 0.115000, 0.038000
FP, 0.019, 0.111000, 0.038000
